"Table 1.7 Occupational projections, 2021-31, and worker characteristics, 2021 (Numbers in thousands)",,,,,,,,,,,,
2021 National Employment Matrix title,2021 National Employment Matrix code,Occupation type,"Employment, 2021","Employment, 2031","Employment change, 2021-31","Percent employment change, 2021-31","Percent self employed, 2021","Occupational openings, 2021-31 annual average","Median annual wage, 2021(1)",Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation
Rail-track laying and maintenance equipment operators,47-4061,Line item,17.0,17.8,0.7,4.4,—,1.4,"$61,690",High school diploma or equivalent,None,Moderate-term on-the-job training
Septic tank servicers and sewer pipe cleaners,47-4071,Line item,30.1,32.2,2.1,6.8,4.0,3.6,"$44,810",High school diploma or equivalent,None,Moderate-term on-the-job training
Miscellaneous construction and related workers,47-4090,Line item,33.0,34.4,1.3,4.0,5.0,3.8,"$39,850",High school diploma or equivalent,None,Moderate-term on-the-job training
Extraction workers,47-5000,Summary,194.4,215.0,20.6,10.6,1.9,24.9,"$47,600",—,—,—
"Derrick, rotary drill, and service unit operators, oil and gas",47-5010,Summary,56.4,66.3,9.8,17.4,1.2,8.0,"$48,740",—,—,—
"Derrick operators, oil and gas",47-5011,Line item,8.6,10.0,1.4,16.9,1.2,1.2,"$47,230",No formal educational credential,None,Short-term on-the-job training
"Rotary drill operators, oil and gas",47-5012,Line item,12.1,14.3,2.1,17.6,1.2,1.7,"$56,380",No formal educational credential,None,Moderate-term on-the-job training
"Service unit operators, oil and gas",47-5013,Line item,35.7,42.0,6.3,17.5,1.2,5.1,"$48,410",No formal educational credential,None,Moderate-term on-the-job training
Surface mining machine operators and earth drillers,47-5020,Summary,52.8,54.3,1.5,2.8,1.7,5.7,"$47,370",—,—,—
"Excavating and loading machine and dragline operators, surface mining",47-5022,Line item,36.5,36.5,0.0,-0.1,1.7,3.8,"$46,740",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
"Earth drillers, except oil and gas",47-5023,Line item,16.3,17.8,1.5,9.1,1.6,1.9,"$48,250",High school diploma or equivalent,Less than 5 years,Long-term on-the-job training
"Explosives workers, ordnance handling experts, and blasters",47-5032,Line item,7.1,7.2,0.1,1.5,21.5,0.7,"$53,040",High school diploma or equivalent,Less than 5 years,Long-term on-the-job training
Underground mining machine operators,47-5040,Summary,24.5,23.3,-1.1,-4.6,—,2.8,"$59,840",—,—,—
Continuous mining machine operators,47-5041,Line item,14.9,15.2,0.2,1.6,—,1.8,"$60,300",No formal educational credential,None,Moderate-term on-the-job training
"Roof bolters, mining",47-5043,Line item,1.9,1.5,-0.4,-21.5,—,0.2,"$59,770",High school diploma or equivalent,None,Moderate-term on-the-job training
"Loading and moving machine operators, underground mining",47-5044,Line item,4.5,3.7,-0.8,-17.8,—,0.4,"$57,900",No formal educational credential,None,Short-term on-the-job training
"Underground mining machine operators, all other",47-5049,Line item,3.2,3.0,-0.2,-5.2,—,0.4,"$61,260",No formal educational credential,None,Moderate-term on-the-job training
"Rock splitters, quarry",47-5051,Line item,4.5,4.7,0.2,4.2,—,0.6,"$37,700",No formal educational credential,None,Short-term on-the-job training
"Roustabouts, oil and gas",47-5071,Line item,37.3,45.9,8.6,23.0,1.2,5.6,"$38,920",No formal educational credential,None,Moderate-term on-the-job training
Helpers--extraction workers,47-5081,Line item,6.2,7.1,1.0,15.5,—,0.9,"$37,760",High school diploma or equivalent,None,Moderate-term on-the-job training
"Extraction workers, all other",47-5099,Line item,5.6,6.1,0.6,10.3,—,0.7,"$48,140",High school diploma or equivalent,None,Moderate-term on-the-job training
"Installation, maintenance, and repair occupations",49-0000,Summary,"6,038.7","6,342.6",304.0,5.0,4.3,628.2,"$47,940",—,—,—
"Supervisors of installation, maintenance, and repair workers",49-1000,Summary,544.7,564.6,19.8,3.6,0.5,53.5,"$71,260",—,—,—
"First-line supervisors of mechanics, installers, and repairers",49-1011,Line item,544.7,564.6,19.8,3.6,0.5,53.5,"$71,260",High school diploma or equivalent,Less than 5 years,None
"Electrical and electronic equipment mechanics, installers, and repairers",49-2000,Summary,534.7,549.3,14.5,2.7,5.2,58.1,"$55,820",—,—,—
"Computer, automated teller, and office machine repairers",49-2011,Line item,102.1,98.5,-3.7,-3.6,13.4,10.3,"$40,970","Some college, no degree",None,Short-term on-the-job training
Radio and telecommunications equipment installers and repairers,49-2020,Summary,192.0,207.2,15.2,7.9,1.8,24.2,"$60,360",—,—,—
"Radio, cellular, and tower equipment installers and repairers",49-2021,Line item,14.1,14.9,0.8,5.6,1.7,1.7,"$60,360",Associate's degree,None,Moderate-term on-the-job training
"Telecommunications equipment installers and repairers, except line installers",49-2022,Line item,178.0,192.3,14.4,8.1,1.8,22.5,"$60,370",Postsecondary nondegree award,None,Moderate-term on-the-job training
"Miscellaneous electrical and electronic equipment mechanics, installers, and repairers",49-2090,Summary,240.5,243.6,3.0,1.3,4.5,23.6,"$58,780",—,—,—
Avionics technicians,49-2091,Line item,19.6,20.6,1.0,5.1,—,1.6,"$69,280",Associate's degree,None,None
"Electric motor, power tool, and related repairers",49-2092,Line item,17.4,18.1,0.7,3.9,6.7,1.5,"$46,910",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
"Electrical and electronics installers and repairers, transportation equipment",49-2093,Line item,9.2,9.5,0.3,3.5,0.6,0.9,"$77,250",Postsecondary nondegree award,None,Long-term on-the-job training
"Electrical and electronics repairers, commercial and industrial equipment",49-2094,Line item,52.8,54.0,1.2,2.2,0.5,5.0,"$61,730",Postsecondary nondegree award,None,Long-term on-the-job training
"Electrical and electronics repairers, powerhouse, substation, and relay",49-2095,Line item,22.8,21.7,-1.1,-5.0,0.5,1.9,"$93,420",Postsecondary nondegree award,Less than 5 years,Moderate-term on-the-job training
"Electronic equipment installers and repairers, motor vehicles",49-2096,Line item,9.2,7.1,-2.2,-23.4,0.6,0.5,"$40,670",High school diploma or equivalent,None,Moderate-term on-the-job training
Audiovisual equipment installers and repairers,49-2097,Line item,26.6,25.9,-0.7,-2.6,17.6,2.7,"$44,790",Postsecondary nondegree award,None,Short-term on-the-job training
Security and fire alarm systems installers,49-2098,Line item,82.9,86.7,3.9,4.7,5.4,9.4,"$48,320",High school diploma or equivalent,None,Moderate-term on-the-job training
"Vehicle and mobile equipment mechanics, installers, and repairers",49-3000,Summary,"1,759.1","1,822.7",63.6,3.6,8.3,178.3,"$47,410",—,—,—
Aircraft mechanics and service technicians,49-3011,Line item,131.7,139.8,8.0,6.1,1.1,11.5,"$65,380",Postsecondary nondegree award,None,None
Automotive technicians and repairers,49-3020,Summary,904.2,919.8,15.6,1.7,11.9,90.4,"$46,910",—,—,—
Automotive body and related repairers,49-3021,Line item,152.5,156.8,4.2,2.8,6.9,15.2,"$47,270",High school diploma or equivalent,None,Long-term on-the-job training
Automotive glass installers and repairers,49-3022,Line item,18.5,19.3,0.8,4.4,9.0,1.8,"$37,920",High school diploma or equivalent,None,Moderate-term on-the-job training
Automotive service technicians and mechanics,49-3023,Line item,733.2,743.8,10.6,1.4,13.0,73.3,"$46,880",Postsecondary nondegree award,None,Short-term on-the-job training
Bus and truck mechanics and diesel engine specialists,49-3031,Line item,293.2,305.8,12.6,4.3,7.9,28.5,"$48,690",High school diploma or equivalent,None,Long-term on-the-job training
Heavy vehicle and mobile equipment service technicians and mechanics,49-3040,Summary,223.0,240.6,17.7,7.9,3.6,23.9,"$53,770",—,—,—
Farm equipment mechanics and service technicians,49-3041,Line item,49.5,54.8,5.3,10.7,3.0,5.5,"$46,910",High school diploma or equivalent,None,Long-term on-the-job training
"Mobile heavy equipment mechanics, except engines",49-3042,Line item,152.6,164.2,11.6,7.6,3.7,16.3,"$58,030",High school diploma or equivalent,None,Long-term on-the-job training
Rail car repairers,49-3043,Line item,20.9,21.6,0.8,3.7,4.1,2.1,"$60,250",High school diploma or equivalent,None,Long-term on-the-job training
Small engine mechanics,49-3050,Summary,79.8,83.8,4.0,5.0,6.7,9.0,"$39,050",—,—,—
Motorboat mechanics and service technicians,49-3051,Line item,25.7,27.8,2.1,8.3,6.7,3.0,"$46,730",High school diploma or equivalent,None,Long-term on-the-job training
Motorcycle mechanics,49-3052,Line item,16.6,17.3,0.7,4.3,6.9,1.8,"$38,170",Postsecondary nondegree award,None,Short-term on-the-job training
Outdoor power equipment and other small engine mechanics,49-3053,Line item,37.5,38.7,1.2,3.1,6.7,4.1,"$37,540",High school diploma or equivalent,None,Moderate-term on-the-job training
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",49-3090,Summary,127.1,132.8,5.7,4.5,1.0,15.1,"$30,370",—,—,—
Bicycle repairers,49-3091,Line item,15.1,15.9,0.8,5.2,1.0,1.8,"$34,690",High school diploma or equivalent,None,Moderate-term on-the-job training
Recreational vehicle service technicians,49-3092,Line item,16.7,18.7,2.0,12.2,1.0,2.2,"$43,560",High school diploma or equivalent,None,Long-term on-the-job training
Tire repairers and changers,49-3093,Line item,95.3,98.2,2.9,3.1,1.0,11.1,"$29,580",High school diploma or equivalent,None,Short-term on-the-job training
"Other installation, maintenance, and repair occupations",49-9000,Summary,"3,200.1","3,406.1",206.0,6.4,2.5,338.2,"$47,230",—,—,—
Control and valve installers and repairers,49-9010,Summary,69.4,72.5,3.1,4.4,0.5,5.8,"$53,980",—,—,—
Mechanical door repairers,49-9011,Line item,23.7,26.4,2.7,11.4,0.6,2.2,"$45,060",High school diploma or equivalent,None,Moderate-term on-the-job training
"Control and valve installers and repairers, except mechanical door",49-9012,Line item,45.7,46.1,0.3,0.7,0.5,3.6,"$62,760",High school diploma or equivalent,None,Moderate-term on-the-job training
"Heating, air conditioning, and refrigeration mechanics and installers",49-9021,Line item,394.1,414.4,20.2,5.1,7.2,40.1,"$48,630",Postsecondary nondegree award,None,Long-term on-the-job training
Home appliance repairers,49-9031,Line item,35.5,36.0,0.5,1.3,18.5,3.6,"$44,320",High school diploma or equivalent,None,Moderate-term on-the-job training
"Industrial machinery installation, repair, and maintenance workers",49-9040,Summary,483.9,553.5,69.6,14.4,0.6,53.2,"$59,380",—,—,—
Industrial machinery mechanics,49-9041,Line item,384.8,447.9,63.1,16.4,0.7,42.5,"$59,840",High school diploma or equivalent,None,Long-term on-the-job training
"Maintenance workers, machinery",49-9043,Line item,58.5,63.0,4.5,7.8,—,6.9,"$48,900",High school diploma or equivalent,None,Long-term on-the-job training
Millwrights,49-9044,Line item,39.9,42.0,2.1,5.2,—,3.8,"$60,330",High school diploma or equivalent,None,Apprenticeship
"Refractory materials repairers, except brickmasons",49-9045,Line item,0.7,0.5,-0.1,-20.2,—,0.0,"$54,250",High school diploma or equivalent,None,Moderate-term on-the-job training
Line installers and repairers,49-9050,Summary,230.4,244.0,13.6,5.9,1.1,23.5,"$74,530",—,—,—
Electrical power-line installers and repairers,49-9051,Line item,126.6,130.7,4.0,3.2,0.9,11.1,"$78,310",High school diploma or equivalent,None,Long-term on-the-job training
Telecommunications line installers and repairers,49-9052,Line item,103.8,113.4,9.6,9.2,1.3,12.4,"$60,190",High school diploma or equivalent,None,Long-term on-the-job training
Precision instrument and equipment repairers,49-9060,Summary,82.5,92.0,9.5,11.5,7.2,10.1,"$48,630",—,—,—
Camera and photographic equipment repairers,49-9061,Line item,2.5,2.7,0.1,4.8,6.1,0.3,"$38,200",High school diploma or equivalent,None,Long-term on-the-job training
Medical equipment repairers,49-9062,Line item,59.1,69.1,10.0,17.0,7.5,7.7,"$49,910",Associate's degree,None,Moderate-term on-the-job training
Musical instrument repairers and tuners,49-9063,Line item,6.4,5.9,-0.5,-7.1,7.4,0.6,"$37,160",High school diploma or equivalent,None,Apprenticeship
Watch and clock repairers,49-9064,Line item,2.2,1.7,-0.5,-24.7,7.6,0.1,"$44,250",High school diploma or equivalent,None,Long-term on-the-job training
"Precision instrument and equipment repairers, all other",49-9069,Line item,12.3,12.6,0.3,2.5,6.1,1.3,"$57,670",High school diploma or equivalent,None,Long-term on-the-job training
"Maintenance and repair workers, general",49-9071,Line item,"1,539.1","1,615.3",76.3,5.0,0.9,160.1,"$43,180",High school diploma or equivalent,None,Moderate-term on-the-job training
Wind turbine service technicians,49-9081,Line item,11.1,16.1,4.9,44.3,6.8,1.9,"$56,260",Postsecondary nondegree award,None,Long-term on-the-job training
"Miscellaneous installation, maintenance, and repair workers",49-9090,Summary,354.0,362.4,8.3,2.4,5.2,39.9,"$38,030",—,—,—
"Coin, vending, and amusement machine servicers and repairers",49-9091,Line item,30.6,32.0,1.5,4.9,7.0,3.9,"$39,040",High school diploma or equivalent,None,Short-term on-the-job training
Commercial divers,49-9092,Line item,3.0,3.4,0.4,14.7,6.6,0.4,"$60,360",Postsecondary nondegree award,None,Moderate-term on-the-job training
Locksmiths and safe repairers,49-9094,Line item,20.3,17.3,-3.0,-14.8,21.7,1.6,"$46,910",High school diploma or equivalent,None,Long-term on-the-job training
Manufactured building and mobile home installers,49-9095,Line item,3.9,3.1,-0.8,-20.3,6.8,0.3,"$36,360",High school diploma or equivalent,None,Short-term on-the-job training
Riggers,49-9096,Line item,18.5,19.3,0.7,4.0,—,2.2,"$48,130",High school diploma or equivalent,None,Moderate-term on-the-job training
Signal and track switch repairers,49-9097,Line item,6.8,7.0,0.2,3.7,6.7,0.7,"$80,570",High school diploma or equivalent,None,Moderate-term on-the-job training
"Helpers--installation, maintenance, and repair workers",49-9098,Line item,90.5,93.9,3.4,3.8,—,11.4,"$33,100",High school diploma or equivalent,None,Short-term on-the-job training
"Installation, maintenance, and repair workers, all other",49-9099,Line item,180.5,186.3,5.8,3.2,6.1,19.3,"$42,570",High school diploma or equivalent,None,Moderate-term on-the-job training
Production occupations,51-0000,Summary,"8,787.1","8,623.5",-163.6,-1.9,2.4,989.9,"$37,710",—,—,—
Supervisors of production workers,51-1000,Summary,646.8,659.0,12.2,1.9,0.9,68.7,"$61,790",—,—,—
First-line supervisors of production and operating workers,51-1011,Line item,646.8,659.0,12.2,1.9,0.9,68.7,"$61,790",High school diploma or equivalent,Less than 5 years,None
Assemblers and fabricators,51-2000,Summary,"1,821.6","1,706.7",-114.9,-6.3,0.6,192.1,"$37,170",—,—,—
"Aircraft structure, surfaces, rigging, and systems assemblers",51-2011,Line item,34.3,27.7,-6.6,-19.4,0.6,2.9,"$49,480",High school diploma or equivalent,None,Moderate-term on-the-job training
"Electrical, electronics, and electromechanical assemblers",51-2020,Summary,290.8,294.8,4.0,1.4,—,33.8,"$37,460",—,—,—
"Coil winders, tapers, and finishers",51-2021,Line item,11.4,9.3,-2.0,-17.9,—,1.0,"$38,360",High school diploma or equivalent,None,Moderate-term on-the-job training
"Electrical, electronic, and electromechanical assemblers, except coil winders, tapers, and finishers",51-2028,Line item,279.5,285.5,6.0,2.2,—,32.8,"$37,460",High school diploma or equivalent,None,Moderate-term on-the-job training
Engine and other machine assemblers,51-2031,Line item,47.3,41.6,-5.8,-12.2,1.6,5.7,"$47,440",High school diploma or equivalent,None,Moderate-term on-the-job training
Structural metal fabricators and fitters,51-2041,Line item,63.6,53.6,-10.1,-15.8,2.0,4.7,"$45,480",High school diploma or equivalent,None,Moderate-term on-the-job training
Fiberglass laminators and fabricators,51-2051,Line item,17.8,18.0,0.1,0.7,0.6,2.1,"$37,650",High school diploma or equivalent,None,Moderate-term on-the-job training
Timing device assemblers and adjusters,51-2061,Line item,0.6,0.5,-0.1,-18.3,—,0.1,"$37,780",High school diploma or equivalent,None,Moderate-term on-the-job training
Miscellaneous assemblers and fabricators,51-2090,Line item,"1,367.1","1,270.7",-96.4,-7.1,0.6,142.7,"$36,590",High school diploma or equivalent,None,Moderate-term on-the-job training
Food processing workers,51-3000,Summary,830.8,851.5,20.7,2.5,2.3,114.0,"$30,480",—,—,—
Bakers,51-3011,Line item,200.8,217.0,16.3,8.1,7.4,31.3,"$29,750",No formal educational credential,None,Moderate-term on-the-job training
"Butchers and other meat, poultry, and fish processing workers",51-3020,Summary,372.6,367.9,-4.7,-1.3,0.1,46.1,"$30,280",—,—,—
Butchers and meat cutters,51-3021,Line item,146.9,142.0,-4.9,-3.3,0.1,17.7,"$36,050",No formal educational credential,None,Long-term on-the-job training
"Meat, poultry, and fish cutters and trimmers",51-3022,Line item,137.3,139.1,1.8,1.3,0.1,17.5,"$29,730",No formal educational credential,None,Short-term on-the-job training
Slaughterers and meat packers,51-3023,Line item,88.3,86.7,-1.6,-1.8,0.1,10.8,"$29,900",No formal educational credential,None,Short-term on-the-job training
Miscellaneous food processing workers,51-3090,Summary,257.5,266.6,9.1,3.5,1.5,36.7,"$35,430",—,—,—
"Food and tobacco roasting, baking, and drying machine operators and tenders",51-3091,Line item,21.1,21.6,0.5,2.2,—,2.8,"$35,480",No formal educational credential,None,Moderate-term on-the-job training
Food batchmakers,51-3092,Line item,159.9,168.7,8.8,5.5,1.2,23.5,"$35,780",High school diploma or equivalent,None,Moderate-term on-the-job training
Food cooking machine operators and tenders,51-3093,Line item,27.2,27.0,-0.2,-0.8,—,5.0,"$35,890",High school diploma or equivalent,None,Moderate-term on-the-job training
"Food processing workers, all other",51-3099,Line item,49.3,49.4,0.1,0.2,4.0,5.4,"$31,890",No formal educational credential,None,Moderate-term on-the-job training
Metal workers and plastic workers,51-4000,Summary,"1,695.9","1,665.5",-30.4,-1.8,1.9,178.2,"$42,960",—,—,—
"Forming machine setters, operators, and tenders, metal and plastic",51-4020,Summary,104.5,99.3,-5.2,-5.0,—,10.5,"$38,580",—,—,—
"Extruding and drawing machine setters, operators, and tenders, metal and plastic",51-4021,Line item,60.6,61.0,0.4,0.7,—,6.6,"$37,750",High school diploma or equivalent,None,Moderate-term on-the-job training
"Forging machine setters, operators, and tenders, metal and plastic",51-4022,Line item,11.8,9.6,-2.2,-18.3,—,0.9,"$44,520",High school diploma or equivalent,None,Moderate-term on-the-job training
"Rolling machine setters, operators, and tenders, metal and plastic",51-4023,Line item,32.1,28.7,-3.5,-10.9,—,2.9,"$46,210",High school diploma or equivalent,None,Moderate-term on-the-job training
"Machine tool cutting setters, operators, and tenders, metal and plastic",51-4030,Summary,294.4,269.3,-25.1,-8.5,0.1,29.6,"$37,720",—,—,—
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",51-4031,Line item,183.3,170.1,-13.2,-7.2,0.2,17.1,"$37,630",High school diploma or equivalent,None,Moderate-term on-the-job training
"Drilling and boring machine tool setters, operators, and tenders, metal and plastic",51-4032,Line item,6.9,5.6,-1.3,-18.6,—,0.7,"$38,580",High school diploma or equivalent,None,Moderate-term on-the-job training
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",51-4033,Line item,69.0,63.0,-6.1,-8.8,—,7.8,"$37,550",High school diploma or equivalent,None,Moderate-term on-the-job training
"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",51-4034,Line item,20.0,18.2,-1.8,-9.1,—,2.4,"$44,240",High school diploma or equivalent,None,Moderate-term on-the-job training
"Milling and planing machine setters, operators, and tenders, metal and plastic",51-4035,Line item,15.2,12.5,-2.7,-17.7,—,1.6,"$46,850",High school diploma or equivalent,None,Moderate-term on-the-job training
Machinists,51-4041,Line item,342.6,350.7,8.1,2.4,1.3,37.5,"$47,730",High school diploma or equivalent,None,Long-term on-the-job training
"Metal furnace operators, tenders, pourers, and casters",51-4050,Summary,22.7,20.8,-1.9,-8.2,—,2.1,"$46,640",—,—,—
Metal-refining furnace operators and tenders,51-4051,Line item,15.9,14.9,-1.0,-6.4,—,1.5,"$46,690",High school diploma or equivalent,None,Moderate-term on-the-job training
"Pourers and casters, metal",51-4052,Line item,6.7,5.9,-0.8,-12.5,—,0.6,"$45,850",High school diploma or equivalent,None,Moderate-term on-the-job training
"Model makers and patternmakers, metal and plastic",51-4060,Summary,5.9,5.4,-0.5,-8.2,—,0.5,"$49,480",—,—,—
"Model makers, metal and plastic",51-4061,Line item,3.8,3.5,-0.3,-7.1,—,0.3,"$55,630",High school diploma or equivalent,None,Moderate-term on-the-job training
"Patternmakers, metal and plastic",51-4062,Line item,2.1,1.9,-0.2,-10.2,—,0.2,"$48,090",High school diploma or equivalent,None,Moderate-term on-the-job training
"Molders and molding machine setters, operators, and tenders, metal and plastic",51-4070,Summary,180.1,177.6,-2.5,-1.4,—,18.0,"$36,590",—,—,—
Foundry mold and coremakers,51-4071,Line item,14.0,12.4,-1.6,-11.1,—,1.2,"$37,710",High school diploma or equivalent,None,Moderate-term on-the-job training
"Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic",51-4072,Line item,166.1,165.2,-0.9,-0.6,—,16.8,"$36,370",High school diploma or equivalent,None,Moderate-term on-the-job training
"Multiple machine tool setters, operators, and tenders, metal and plastic",51-4081,Line item,139.5,143.4,4.0,2.8,1.4,15.3,"$37,630",High school diploma or equivalent,None,Moderate-term on-the-job training
Tool and die makers,51-4111,Line item,65.1,61.0,-4.2,-6.4,0.8,6.5,"$57,000",Postsecondary nondegree award,None,Long-term on-the-job training
"Welding, soldering, and brazing workers",51-4120,Summary,460.3,464.6,4.3,0.9,5.1,50.7,"$46,910",—,—,—
"Welders, cutters, solderers, and brazers",51-4121,Line item,428.0,434.9,6.9,1.6,5.1,47.6,"$47,010",High school diploma or equivalent,None,Moderate-term on-the-job training
"Welding, soldering, and brazing machine setters, operators, and tenders",51-4122,Line item,32.3,29.7,-2.6,-7.9,5.1,3.1,"$38,580",High school diploma or equivalent,None,Moderate-term on-the-job training
Miscellaneous metal workers and plastic workers,51-4190,Summary,80.8,73.3,-7.5,-9.3,1.3,7.4,"$37,630",—,—,—
"Heat treating equipment setters, operators, and tenders, metal and plastic",51-4191,Line item,14.9,13.5,-1.5,-9.8,1.4,1.3,"$38,450",High school diploma or equivalent,None,Moderate-term on-the-job training
"Layout workers, metal and plastic",51-4192,Line item,7.1,6.4,-0.7,-10.0,1.2,0.6,"$51,690",High school diploma or equivalent,None,Moderate-term on-the-job training
"Plating machine setters, operators, and tenders, metal and plastic",51-4193,Line item,33.0,29.6,-3.4,-10.4,1.4,3.0,"$37,200",High school diploma or equivalent,None,Moderate-term on-the-job training
"Tool grinders, filers, and sharpeners",51-4194,Line item,6.3,5.8,-0.5,-7.9,1.4,0.6,"$38,430",High school diploma or equivalent,None,Moderate-term on-the-job training
"Metal workers and plastic workers, all other",51-4199,Line item,19.4,18.0,-1.4,-7.1,1.3,1.8,"$36,990",High school diploma or equivalent,None,Moderate-term on-the-job training
Printing workers,51-5100,Summary,221.3,181.3,-40.0,-18.1,3.5,18.5,"$37,710",—,—,—
Prepress technicians and workers,51-5111,Line item,26.0,20.1,-5.9,-22.7,—,2.4,"$42,610",Postsecondary nondegree award,None,None
Printing press operators,51-5112,Line item,153.1,129.4,-23.7,-15.5,4.3,13.2,"$37,770",High school diploma or equivalent,None,Moderate-term on-the-job training
Print binding and finishing workers,51-5113,Line item,42.2,31.8,-10.5,-24.8,3.0,2.8,"$36,590",High school diploma or equivalent,None,Moderate-term on-the-job training
"Textile, apparel, and furnishings workers",51-6000,Summary,498.4,495.3,-3.1,-0.6,8.0,64.4,"$29,420",—,—,—
Laundry and dry-cleaning workers,51-6011,Line item,164.0,183.5,19.5,11.9,1.4,26.6,"$28,350",No formal educational credential,None,Short-term on-the-job training
"Pressers, textile, garment, and related materials",51-6021,Line item,27.9,25.2,-2.7,-9.6,—,2.9,"$28,680",No formal educational credential,None,Short-term on-the-job training
Sewing machine operators,51-6031,Line item,127.0,116.5,-10.5,-8.3,6.2,14.0,"$29,690",No formal educational credential,None,Short-term on-the-job training
Shoe and leather workers,51-6040,Summary,11.9,11.2,-0.7,-5.9,21.6,1.4,"$29,760",—,—,—
Shoe and leather workers and repairers,51-6041,Line item,7.3,6.9,-0.4,-5.1,21.6,0.9,"$31,450",High school diploma or equivalent,None,Moderate-term on-the-job training
Shoe machine operators and tenders,51-6042,Line item,4.7,4.3,-0.3,-7.2,21.6,0.5,"$28,560",High school diploma or equivalent,None,Short-term on-the-job training
"Tailors, dressmakers, and sewers",51-6050,Summary,43.5,43.8,0.3,0.7,49.7,6.2,"$31,180",—,—,—
"Sewers, hand",51-6051,Line item,8.5,8.4,-0.1,-1.0,49.6,1.2,"$29,930",No formal educational credential,None,Moderate-term on-the-job training
"Tailors, dressmakers, and custom sewers",51-6052,Line item,35.0,35.5,0.4,1.2,49.8,5.0,"$31,420",No formal educational credential,None,Moderate-term on-the-job training
"Textile machine setters, operators, and tenders",51-6060,Summary,58.8,50.9,-7.9,-13.4,—,6.6,"$30,050",—,—,—
Textile bleaching and dyeing machine operators and tenders,51-6061,Line item,6.5,5.6,-1.0,-14.6,—,0.7,"$29,930",High school diploma or equivalent,None,Short-term on-the-job training
"Textile cutting machine setters, operators, and tenders",51-6062,Line item,12.3,10.8,-1.5,-12.2,—,1.4,"$29,960",High school diploma or equivalent,None,Moderate-term on-the-job training
"Textile knitting and weaving machine setters, operators, and tenders",51-6063,Line item,17.0,14.4,-2.6,-15.1,—,1.9,"$33,990",High school diploma or equivalent,None,Short-term on-the-job training
"Textile winding, twisting, and drawing out machine setters, operators, and tenders",51-6064,Line item,23.0,20.1,-2.9,-12.4,—,2.6,"$30,020",High school diploma or equivalent,None,Moderate-term on-the-job training
"Miscellaneous textile, apparel, and furnishings workers",51-6090,Summary,65.3,64.1,-1.1,-1.7,8.8,6.7,"$37,030",—,—,—
"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",51-6091,Line item,14.4,13.7,-0.6,-4.2,—,1.5,"$37,550",High school diploma or equivalent,None,Moderate-term on-the-job training
Fabric and apparel patternmakers,51-6092,Line item,3.2,2.8,-0.4,-12.7,—,0.3,"$58,650",High school diploma or equivalent,None,Moderate-term on-the-job training
Upholsterers,51-6093,Line item,34.5,35.7,1.2,3.3,16.6,3.7,"$37,420",High school diploma or equivalent,None,Moderate-term on-the-job training
"Textile, apparel, and furnishings workers, all other",51-6099,Line item,13.1,11.9,-1.3,-9.7,—,1.2,"$29,750",High school diploma or equivalent,None,Short-term on-the-job training
Woodworkers,51-7000,Summary,250.3,259.4,9.2,3.7,5.7,28.6,"$36,680",—,—,—
Cabinetmakers and bench carpenters,51-7011,Line item,102.9,106.5,3.6,3.5,7.7,11.5,"$37,540",High school diploma or equivalent,None,Moderate-term on-the-job training
Furniture finishers,51-7021,Line item,18.7,19.1,0.4,2.2,10.5,2.7,"$36,580",High school diploma or equivalent,None,Short-term on-the-job training
"Model makers and patternmakers, wood",51-7030,Summary,0.8,0.8,0.1,7.5,27.7,0.1,"$57,410",—,—,—
"Model makers, wood",51-7031,Line item,0.5,0.5,0.0,7.3,27.0,0.1,"$60,780",High school diploma or equivalent,None,Moderate-term on-the-job training
"Patternmakers, wood",51-7032,Line item,0.3,0.3,0.0,7.8,28.9,0.0,"$46,920",High school diploma or equivalent,None,Moderate-term on-the-job training
"Woodworking machine setters, operators, and tenders",51-7040,Summary,116.5,120.7,4.2,3.6,0.7,13.0,"$35,850",—,—,—
"Sawing machine setters, operators, and tenders, wood",51-7041,Line item,47.1,49.0,1.9,4.1,1.8,5.7,"$35,340",High school diploma or equivalent,None,Moderate-term on-the-job training
"Woodworking machine setters, operators, and tenders, except sawing",51-7042,Line item,69.4,71.7,2.2,3.2,—,7.2,"$36,090",High school diploma or equivalent,None,Moderate-term on-the-job training
"Woodworkers, all other",51-7099,Line item,11.4,12.3,0.9,7.7,29.0,1.4,"$35,610",High school diploma or equivalent,None,Moderate-term on-the-job training
Plant and system operators,51-8000,Summary,290.4,276.1,-14.3,-4.9,0.9,27.6,"$61,350",—,—,—
"Power plant operators, distributors, and dispatchers",51-8010,Summary,43.7,37.3,-6.5,-14.8,—,3.2,"$94,790",—,—,—
Nuclear power reactor operators,51-8011,Line item,4.8,3.5,-1.3,-26.8,—,0.3,"$104,260",High school diploma or equivalent,None,Long-term on-the-job training
